Date,Close
2016-05-04,"33,55"
2016-05-05,"32,95"
2016-05-06,"33,7"
2016-05-09,"33,99"
2016-05-10,"35,15"
2016-05-11,"35,66"
2016-05-12,"35,9"
2016-05-13,"35,5"
2016-05-16,"35,53"
2016-05-17,"34,76"
2016-05-18,"34,87"
2016-05-19,"34,93"
2016-05-20,"35,14"
2016-05-23,"34,84"
2016-05-24,"35,21"
2016-05-25,"35,42"
2016-05-26,"35,75"
2016-05-27,"35,61"
2016-05-31,"36,14"
2016-06-01,"35,97"
2016-06-02,"36,41"
2016-06-03,"36,28"
2016-06-06,"36,34"
2016-06-07,"36,19"
2016-06-08,"36,33"
2016-06-09,"36,38"
2016-06-10,"35,9"
2016-06-13,"35,76"
2016-06-14,"35,97"
2016-06-15,"35,71"
2016-06-16,"35,88"
2016-06-17,"35,32"
2016-06-20,"35,7"
2016-06-21,"35,79"
2016-06-22,"35,53"
2016-06-23,"36,1"
2016-06-24,"34,95"
2016-06-27,"34,57"
2016-06-28,"35,4"
2016-06-29,"35,78"
2016-06-30,"35,78"
2016-07-01,"36,28"
2016-07-05,"36,41"
2016-07-06,"36,88"
2016-07-07,"36,83"
2016-07-08,"37,29"
2016-07-11,"37,69"
2016-07-12,"37,41"
2016-07-13,"37,13"
2016-07-14,"37,06"
2016-07-15,"36,77"
2016-07-18,"36,8"
2016-07-19,37
2016-07-20,"37,29"
2016-07-21,"37,22"
2016-07-22,"37,24"
2016-07-25,"36,98"
2016-07-26,"36,78"
2016-07-27,"36,83"
2016-07-28,"37,63"
2016-07-29,"37,94"
2016-08-01,"38,39"
2016-08-02,"38,03"
2016-08-03,"37,73"
2016-08-04,"38,04"
2016-08-05,"38,3"
2016-08-08,"38,33"
2016-08-09,"38,42"
2016-08-10,"38,43"
2016-08-11,"38,56"
2016-08-12,"38,63"
2016-08-15,"38,42"
2016-08-16,"38,2"
2016-08-17,"38,23"
2016-08-18,"38,22"
2016-08-19,"37,87"
2016-08-22,"37,97"
2016-08-23,"38,12"
2016-08-24,"37,86"
2016-08-25,"37,96"
2016-08-26,"38,45"
2016-08-29,"38,56"
2016-08-30,"38,38"
2016-08-31,"38,46"
2016-09-01,"38,53"
2016-09-02,"38,62"
2016-09-06,"39,44"
2016-09-07,"39,22"
2016-09-08,"39,2"
2016-09-09,"38,01"
2016-09-12,"38,57"
2016-09-13,"38,05"
2016-09-14,"38,05"
2016-09-15,"38,48"
2016-09-16,"38,93"
2016-09-19,"38,76"
2016-09-20,"39,01"
2016-09-21,"39,49"
2016-09-22,"40,24"
2016-09-23,"40,29"
2016-09-26,"39,96"
2016-09-27,"40,81"
2016-09-28,"41,44"
2016-09-29,"41,45"
2016-09-30,"41,87"
2016-10-03,"41,84"
2016-10-04,"41,7"
2016-10-05,"42,22"
2016-10-06,"42,08"
2016-10-07,"41,97"
2016-10-10,"42,09"
2016-10-11,"41,55"
2016-10-12,"41,7"
2016-10-13,"41,46"
2016-10-14,"41,15"
2016-10-17,"40,65"
2016-10-18,"40,88"
2016-10-19,"40,88"
2016-10-20,"40,52"
2016-10-21,"40,95"
2016-10-24,"41,9"
2016-10-25,"41,76"
2016-10-26,"41,13"
2016-10-27,"40,92"
2016-10-28,"38,82"
2016-10-31,"39,49"
2016-11-01,"39,27"
2016-11-02,"38,28"
2016-11-03,"38,35"
2016-11-04,"37,75"
2016-11-07,"39,25"
2016-11-08,"39,39"
2016-11-09,"38,59"
2016-11-10,"37,12"
2016-11-11,"36,95"
2016-11-14,"35,95"
2016-11-15,"37,16"
2016-11-16,"37,32"
2016-11-17,"37,82"
2016-11-18,"38,01"
2016-11-21,39
2016-11-22,"39,27"
2016-11-23,"39,01"
2016-11-25,"39,02"
2016-11-28,"38,34"
2016-11-29,"38,13"
2016-11-30,"37,53"
2016-12-01,"37,18"
2016-12-02,"37,02"
2016-12-05,"37,97"
2016-12-06,"38,24"
2016-12-07,"38,52"
2016-12-08,"38,37"
2016-12-09,"38,43"
2016-12-12,"38,01"
2016-12-13,"38,72"
2016-12-14,"38,44"
2016-12-15,"38,05"
2016-12-16,"37,89"
2016-12-19,"38,3"
2016-12-20,"38,56"
2016-12-21,"38,53"
2016-12-22,"38,32"
2016-12-23,"38,03"
2016-12-27,"38,57"
2016-12-28,"38,61"
2016-12-29,"38,26"
2016-12-30,"37,49"
2017-01-03,"37,68"
2017-01-04,"37,86"
2017-01-05,"39,02"
2017-01-06,"39,8"
2017-01-09,"39,85"
2017-01-10,"39,8"
2017-01-11,"39,95"
2017-01-12,"40,68"
2017-01-13,"40,86"
2017-01-17,"40,49"
2017-01-18,"40,37"
